DATA;RowHeading;ColumnHeading
Прозрачный;Алмаз;Цвет
10;Алмаз;Твердость (Моос) | Значение
Прозрачный;Алмаз;Прозрачность | Пропускная способность
3,47-3,55;Алмаз;Твердость (Моос) | Плотность
Кубическая;Алмаз;Сингония | Система
Октаэдрический;Алмаз;Сингония | Облик кристаллов
2,417-2,419;Алмаз;Прозрачность | Показатель преломления
