DATA;RowHeading;ColumnHeading
Нет существенной облачности;56;Облачность
Незначительная (10-30%) 990 м;58;Облачность
Рассеянная (40-50%) 990 м;69;Облачность
Разорванная (60-90%) 420 м, кучево-дождевые облака;86;Облачность
