DATA;RowHeading1;ColumnHeading
;Стенка резервуара;Кол-во, шт
10420;Стенка резервуара;Размеры, мм | Диаметр внутренний
;Стенка резервуара;Размеры, мм | Толщина стенки
8860;Стенка резервуара;Размеры, мм | Длина, (высота)
;Стенка резервуара;Материал | Марка
;Стенка резервуара;Материал | ГОСТ или ТУ
;0 пояс;Кол-во, шт
;0 пояс;Размеры, мм | Диаметр внутренний
4,0*;0 пояс;Размеры, мм | Толщина стенки
400;0 пояс;Размеры, мм | Длина, (высота)
Cm3cn;0 пояс;Материал | Марка
ГОСТ380;0 пояс;Материал | ГОСТ или ТУ
1;1 пояс;Кол-во, шт
;1 пояс;Размеры, мм | Диаметр внутренний
4,0;1 пояс;Размеры, мм | Толщина стенки
1035;1 пояс;Размеры, мм | Длина, (высота)
Cm3cn;1 пояс;Материал | Марка
ГОСТ380;1 пояс;Материал | ГОСТ или ТУ
1;2 пояс;Кол-во, шт
;2 пояс;Размеры, мм | Диаметр внутренний
4,0;2 пояс;Размеры, мм | Толщина стенки
1475;2 пояс;Размеры, мм | Длина, (высота)
Cm3cn;2 пояс;Материал | Марка
ГОСТ380;2 пояс;Материал | ГОСТ или ТУ
1;3 пояс;Кол-во, шт
;3 пояс;Размеры, мм | Диаметр внутренний
4,0;3 пояс;Размеры, мм | Толщина стенки
1500;3 пояс;Размеры, мм | Длина, (высота)
Cm3cn;3 пояс;Материал | Марка
ГОСТ380;3 пояс;Материал | ГОСТ или ТУ
1;4 пояс;Кол-во, шт
;4 пояс;Размеры, мм | Диаметр внутренний
4,0;4 пояс;Размеры, мм | Толщина стенки
1475;4 пояс;Размеры, мм | Длина, (высота)
Cm3cn;4 пояс;Материал | Марка
ГОСТ380;4 пояс;Материал | ГОСТ или ТУ
1;5 пояс;Кол-во, шт
;5 пояс;Размеры, мм | Диаметр внутренний
4,0;5 пояс;Размеры, мм | Толщина стенки
1500;5 пояс;Размеры, мм | Длина, (высота)
Cm3cn;5 пояс;Материал | Марка
ГОСТ380;5 пояс;Материал | ГОСТ или ТУ
1;6 пояс;Кол-во, шт
;6 пояс;Размеры, мм | Диаметр внутренний
4,0;6 пояс;Размеры, мм | Толщина стенки
1475;6 пояс;Размеры, мм | Длина, (высота)
Cm3cn;6 пояс;Материал | Марка
ГОСТ380;6 пояс;Материал | ГОСТ или ТУ
1;Настил крыши;Кол-во, шт
10420;Настил крыши;Размеры, мм | Диаметр внутренний
3,0*;Настил крыши;Размеры, мм | Толщина стенки
;Настил крыши;Размеры, мм | Длина, (высота)
Cm3cn;Настил крыши;Материал | Марка
ГОСТ380;Настил крыши;Материал | ГОСТ или ТУ
1;Днище;Кол-во, шт
10420;Днище;Размеры, мм | Диаметр внутренний
5,0*;Днище;Размеры, мм | Толщина стенки
;Днище;Размеры, мм | Длина, (высота)
Cm3cn;Днище;Материал | Марка
ГОСТ380;Днище;Материал | ГОСТ или ТУ
