DATA;Row Heading;Column Heading
янв.25;конструктивный элемент | обечайка корпуса межтурбного пространства;pp, мпа
2600;конструктивный элемент | обечайка корпуса межтурбного пространства;d, мм
195;конструктивный элемент | обечайка корпуса межтурбного пространства;т, с
142,3;конструктивный элемент | обечайка корпуса межтурбного пространства;g, мпа
23,6;конструктивный элемент | обечайка корпуса межтурбного пространства;sф, мм
12,75;конструктивный элемент | обечайка корпуса межтурбного пространства;sp, мм
2,21;конструктивный элемент | обечайка корпуса межтурбного пространства;[p], мпа
янв.25;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;pp, мпа
700;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;d, мм
195;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;т, с
148,6;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;g, мпа
31,6;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;sф, мм
3,3;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;sp, мм
11,2;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;[p], мпа
янв.25;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;pp, мпа
700;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;d, мм
195;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;т, с
148,6;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;g, мпа
31,6;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;sф, мм
3,3;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;sp, мм
11,2;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;[p], мпа
янв.25;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;pp, мпа
700;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;d, мм
195;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;т, с
148,6;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;g, мпа
31,6;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;sф, мм
3,3;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;sp, мм
11,2;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;[p], мпа
01.фев;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;pp, мпа
700;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;d, мм
270;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;т, с
140,6;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;g, мпа
9,9;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;sф, мм
3,3;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;sp, мм
3,18;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;[p], мпа
01.фев;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;pp, мпа
700;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;d, мм
270;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;т, с
140,6;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;g, мпа
9,9;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;sф, мм
3,3;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;sp, мм
3,18;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;[p], мпа
01.фев;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;pp, мпа
700;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;d, мм
270;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;т, с
140,6;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;g, мпа
9,9;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;sф, мм
3,3;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;sp, мм
3,18;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;[p], мпа
