DATA;Row Heading;Column Heading
1,25;конструктивный элемент | днище корпуса межтурбного пространства;p, мпа
2600;конструктивный элемент | днище корпуса межтурбного пространства;r, мм
195;конструктивный элемент | днище корпуса межтурбного пространства;т, с
148,6;конструктивный элемент | днище корпуса межтурбного пространства;[g], мпа
24,9;конструктивный элемент | днище корпуса межтурбного пространства;sф, мм
12,2;конструктивный элемент | днище корпуса межтурбного пространства;s1p, мм
2,45;конструктивный элемент | днище корпуса межтурбного пространства;[p], мпа
1,25;конструктивный элемент | днище распределительной камеры №1 трубного пространства;p, мпа
700;конструктивный элемент | днище распределительной камеры №1 трубного пространства;r, мм
270;конструктивный элемент | днище распределительной камеры №1 трубного пространства;т, с
140,6;конструктивный элемент | днище распределительной камеры №1 трубного пространства;[g], мпа
11,2;конструктивный элемент | днище распределительной камеры №1 трубного пространства;sф, мм
3,3;конструктивный элемент | днище распределительной камеры №1 трубного пространства;s1p, мм
3,6;конструктивный элемент | днище распределительной камеры №1 трубного пространства;[p], мпа
1,25;конструктивный элемент | днище распределительной камеры №2 трубного пространства;p, мпа
700;конструктивный элемент | днище распределительной камеры №2 трубного пространства;r, мм
270;конструктивный элемент | днище распределительной камеры №2 трубного пространства;т, с
140,6;конструктивный элемент | днище распределительной камеры №2 трубного пространства;[g], мпа
11,2;конструктивный элемент | днище распределительной камеры №2 трубного пространства;sф, мм
3,3;конструктивный элемент | днище распределительной камеры №2 трубного пространства;s1p, мм
3,6;конструктивный элемент | днище распределительной камеры №2 трубного пространства;[p], мпа
1,25;конструктивный элемент | днище распределительной камеры №3 трубного пространства;p, мпа
700;конструктивный элемент | днище распределительной камеры №3 трубного пространства;r, мм
270;конструктивный элемент | днище распределительной камеры №3 трубного пространства;т, с
140,6;конструктивный элемент | днище распределительной камеры №3 трубного пространства;[g], мпа
11,2;конструктивный элемент | днище распределительной камеры №3 трубного пространства;sф, мм
3,3;конструктивный элемент | днище распределительной камеры №3 трубного пространства;s1p, мм
3,6;конструктивный элемент | днище распределительной камеры №3 трубного пространства;[p], мпа
