DATA;Row Heading;Column Heading
вст3;место измерения | обечайка корпуса основной металл;материал
138-146;место измерения | обечайка корпуса основной металл;твердость, hb | min-max
-;место измерения | кольцевые сварные швы;материал
153-159;место измерения | кольцевые сварные швы;твердость, hb | min-max
-;место измерения | продольные сварные швы;материал
151-161;место измерения | продольные сварные швы;твердость, hb | min-max
09г2с;место измерения | днище корпуса основной металл;материал
151-155;место измерения | днище корпуса основной металл;твердость, hb | min-max
09г2с;место измерения | обечайка распределительной камеры основной металл;материал
145-153;место измерения | обечайка распределительной камеры основной металл;твердость, hb | min-max
09г2с;место измерения | днище распределительной камеры основной металл;материал
149-157;место измерения | днище распределительной камеры основной металл;твердость, hb | min-max
-;место измерения | кольцевые сварные швы распределительной камеры;материал
150-158;место измерения | кольцевые сварные швы распределительной камеры;твердость, hb | min-max
-;место измерения | продольные сварные швы распределительной камеры;материал
152-162;место измерения | продольные сварные швы распределительной камеры;твердость, hb | min-max
