DATA;Row Heading;Column Heading
т-1а;наименование аппарата | конденсатор (теплообменник);позиция
1708-т;наименование аппарата | конденсатор (теплообменник);рег. №
983;наименование аппарата | конденсатор (теплообменник);зав.№
т-3;наименование аппарата | испаритель (теплообменник);позиция
1819-т;наименование аппарата | испаритель (теплообменник);рег. №
323;наименование аппарата | испаритель (теплообменник);зав.№
т-10;наименование аппарата | холодильник (теплообменник);позиция
26229-а;наименование аппарата | холодильник (теплообменник);рег. №
6436;наименование аппарата | холодильник (теплообменник);зав.№
т-21а;наименование аппарата | теплообменник;позиция
2159-т;наименование аппарата | теплообменник;рег. №
623;наименование аппарата | теплообменник;зав.№
т-23;наименование аппарата | теплообменник;позиция
2253-т;наименование аппарата | теплообменник;рег. №
514;наименование аппарата | теплообменник;зав.№
т-26;наименование аппарата | теплообменник;позиция
29562;наименование аппарата | теплообменник;рег. №
204;наименование аппарата | теплообменник;зав.№
т-26а;наименование аппарата | теплообменник;позиция
29650;наименование аппарата | теплообменник;рег. №
199;наименование аппарата | теплообменник;зав.№
