DATA;Row Heading;Column Heading
20;материал | 09г2с;температура, с
280,0;материал | 09г2с;предел текучести, мпа
440,0;материал | 09г2с;предел прочности, мпа
183,0;материал | 09г2с;допускаемое напряжение, мпа
195;материал | 09г2с;температура, с
222,9;материал | 09г2с;предел текучести, мпа
438,1;материал | 09г2с;предел прочности, мпа
148,6;материал | 09г2с;допускаемое напряжение, мпа
270;материал | 09г2с;температура, с
211,2;материал | 09г2с;предел текучести, мпа
444,4;материал | 09г2с;предел прочности, мпа
140,6;материал | 09г2с;допускаемое напряжение, мпа
20;материал | вст3;температура, с
231,0;материал | вст3;предел текучести, мпа
460,0;материал | вст3;предел прочности, мпа
154,0;материал | вст3;допускаемое напряжение, мпа
195;материал | вст3;температура, с
213,5;материал | вст3;предел текучести, мпа
500,5;материал | вст3;предел прочности, мпа
142,3;материал | вст3;допускаемое напряжение, мпа
20;материал | сталь 20;температура, с
220,0;материал | сталь 20;предел текучести, мпа
410,0;материал | сталь 20;предел прочности, мпа
147,0;материал | сталь 20;допускаемое напряжение, мпа
195;материал | сталь 20;температура, с
204,5;материал | сталь 20;предел текучести, мпа
456,0;материал | сталь 20;предел прочности, мпа
136,3;материал | сталь 20;допускаемое напряжение, мпа
270;материал | сталь 20;температура, с
190,4;материал | сталь 20;предел текучести, мпа
460,0;материал | сталь 20;предел прочности, мпа
126,8;материал | сталь 20;допускаемое напряжение, мпа
