DATA;Row Heading;Column Heading
вход газопродуктовой смеси;обозначение | а;назначение
выход газопродуктовой смеси;обозначение | б;назначение
вход газосырьевой смеси;обозначение | в;назначение
выход газосырьевой смеси;обозначение | г;назначение
1;обозначение | а;кол.во, шт.
1;обозначение | б;кол.во, шт.
1;обозначение | в;кол.во, шт.
1;обозначение | г;кол.во, шт.
100;обозначение | а;условный проход, шт.
100;обозначение | б;условный проход, шт.
100;обозначение | в;условный проход, шт.
100;обозначение | г;условный проход, шт.
-;обозначение | а;марка материала (гост, ту)
-;обозначение | б;марка материала (гост, ту)
-;обозначение | в;марка материала (гост, ту)
-;обозначение | г;марка материала (гост, ту)
