DATA;Row Heading;Column Heading
26.0;№ точки ось | а;1
25.0;№ точки ось | а;2
25.июн;№ точки ось | а;3
24.сен;№ точки ось | а;4
24.май;№ точки ось | а;5
25.0;№ точки ось | а;6
25.0;№ точки ось | а;7
25.мар;№ точки ось | а;8
25.мар;№ точки ось | а;9
24.сен;№ точки ось | а;10
25.0;№ точки ось | а;11
25.июн;№ точки ось | а;12
23.июл;№ точки ось | а;13
25.0;№ точки ось | а;14
25.июл;№ точки ось | а;15
26.май;№ точки ось | а;16
-;№ точки ось | в;1
25.мар;№ точки ось | в;2
25.май;№ точки ось | в;3
24.май;№ точки ось | в;4
24.июн;№ точки ось | в;5
25.янв;№ точки ось | в;6
25.0;№ точки ось | в;7
25.мар;№ точки ось | в;8
25.мар;№ точки ось | в;9
24.май;№ точки ось | в;10
25.0;№ точки ось | в;11
25.май;№ точки ось | в;12
24.0;№ точки ось | в;13
24.июн;№ точки ось | в;14
26.апр;№ точки ось | в;15
25.сен;№ точки ось | в;16
-;№ точки ось | с;1
25.мар;№ точки ось | с;2
25.мар;№ точки ось | с;3
24.авг;№ точки ось | с;4
24.июл;№ точки ось | с;5
25.янв;№ точки ось | с;6
25.фев;№ точки ось | с;7
25.фев;№ точки ось | с;8
25.фев;№ точки ось | с;9
24.авг;№ точки ось | с;10
25.фев;№ точки ось | с;11
25.мар;№ точки ось | с;12
24.янв;№ точки ось | с;13
25.0;№ точки ось | с;14
27.0;№ точки ось | с;15
25.мар;№ точки ось | с;16
-;№ точки ось | d;1
25.янв;№ точки ось | d;2
25.июн;№ точки ось | d;3
24.июн;№ точки ось | d;4
24.май;№ точки ось | d;5
25.0;№ точки ось | d;6
25.фев;№ точки ось | d;7
25.янв;№ точки ось | d;8
25.янв;№ точки ось | d;9
24.июн;№ точки ось | d;10
25.фев;№ точки ось | d;11
25.июн;№ точки ось | d;12
23.сен;№ точки ось | d;13
24.авг;№ точки ось | d;14
25.мар;№ точки ось | d;15
25.мар;№ точки ось | d;16
