DATA;Row Heading;Column Heading
12-22/1;n. п.п | 1;цех (объект)
теплообменник;n. п.п | 1;наименование
1;n. п.п | 1;рег.ном.
1-12;n. п.п | 1;зав.ном.
12-22/1;n. п.п | 2;цех (объект)
реакционная колонна;n. п.п | 2;наименование
2;n. п.п | 2;рег.ном.
2-122;n. п.п | 2;зав.ном.
12-22/1;n. п.п | 3;цех (объект)
камера уровнемера высокого давления;n. п.п | 3;наименование
;n. п.п | 3;рег.ном.
120;n. п.п | 3;зав.ном.
12-22/1;n. п.п | 4;цех (объект)
камера уровнемера высокого давления;n. п.п | 4;наименование
;n. п.п | 4;рег.ном.
121;n. п.п | 4;зав.ном.
