DATA;Row Heading;Column Heading
основной металл днища распредкамеры;n | 1;место измерения
158-160;n | 1;min-max значение твердости, нв
159;n | 1;среднее значение твердости, нв
основной металл обечайки распредкамеры;n | 2;место измерения
150-160;n | 2;min-max значение твердости, нв
156;n | 2;среднее значение твердости, нв
основной металл обечайки горловины;n | 3;место измерения
161-164;n | 3;min-max значение твердости, нв
163;n | 3;среднее значение твердости, нв
основной металл обечайки конической;n | 4;место измерения
143-167;n | 4;min-max значение твердости, нв
158;n | 4;среднее значение твердости, нв
основной металл 5-ой обечайки корпуса;n | 5;место измерения
170-174;n | 5;min-max значение твердости, нв
172;n | 5;среднее значение твердости, нв
основной маталл днища корпуса;n | 6;место измерения
140-153;n | 6;min-max значение твердости, нв
146;n | 6;среднее значение твердости, нв
