DATA;Row Heading;Column Heading
26;наименование элемента | обечайка корпуса;sи, мм
23,7;наименование элемента | обечайка корпуса;sф, мм
12,75;наименование элемента | обечайка корпуса;sотб, мм
36;наименование элемента | обечайка штуцера №1 ввода трубного пучка;sи, мм
31,7;наименование элемента | обечайка штуцера №1 ввода трубного пучка;sф, мм
4,0;наименование элемента | обечайка штуцера №1 ввода трубного пучка;sотб, мм
36;наименование элемента | обечайка штуцера №2 ввода трубного пучка;sи, мм
н/д;наименование элемента | обечайка штуцера №2 ввода трубного пучка;sф, мм
4,0;наименование элемента | обечайка штуцера №2 ввода трубного пучка;sотб, мм
36;наименование элемента | обечайка штуцера №3 ввода трубного пучка;sи, мм
н/д;наименование элемента | обечайка штуцера №3 ввода трубного пучка;sф, мм
4,0;наименование элемента | обечайка штуцера №3 ввода трубного пучка;sотб, мм
10;наименование элемента | обечайка распределительной камеры №1;sи, мм
10,2;наименование элемента | обечайка распределительной камеры №1;sф, мм
4,0;наименование элемента | обечайка распределительной камеры №1;sотб, мм
10;наименование элемента | обечайка распределительной камеры №2;sи, мм
10,0;наименование элемента | обечайка распределительной камеры №2;sф, мм
4,0;наименование элемента | обечайка распределительной камеры №2;sотб, мм
10;наименование элемента | обечайка распределительной камеры №3;sи, мм
10,5;наименование элемента | обечайка распределительной камеры №3;sф, мм
4,0;наименование элемента | обечайка распределительной камеры №3;sотб, мм
26;наименование элемента | днище корпуса;sи, мм
25,0;наименование элемента | днище корпуса;sф, мм
12,2;наименование элемента | днище корпуса;sотб, мм
10;наименование элемента | днище распределительной камеры №1;sи, мм
11,4;наименование элемента | днище распределительной камеры №1;sф, мм
4,0;наименование элемента | днище распределительной камеры №1;sотб, мм
10;наименование элемента | днище распределительной камеры №2;sи, мм
11,3;наименование элемента | днище распределительной камеры №2;sф, мм
4,0;наименование элемента | днище распределительной камеры №2;sотб, мм
10;наименование элемента | днище распределительной камеры №3;sи, мм
11,4;наименование элемента | днище распределительной камеры №3;sф, мм
4,0;наименование элемента | днище распределительной камеры №3;sотб, мм
