DATA;LABELS
иванов н.с.;председатель комиссии, эксперт высшей квалификации, зам.генерального диерктора по экспертизе промышленной безопасности, удостоверение №ноа-02-2554 до 28.06.2015 г.
стдоров п.в.;ведущий эксперт, удостоверение №ноф-02-3096 до 07.12.2005 г.
петров а.ю.;эскперт, удостоверение №ноф-02-3097 до 07.12.2005 г
васильев н.м.;эскперт, удостоверение №ноф-02-3098 до 07.12.2005 г
см.приложения;специалисты по неразрушающий методам контроля и расчетам
