DATA;Row Heading;Column Heading
430;номер точки измер. | 1;абсолютная отметка в м.
1.-2;номер точки измер. | 1;разность отметок окрайки днища | смежных точек в м.
0,013;номер точки измер. | 1;разность отметок окрайки днища | смежных точек в м.
1.-3;номер точки измер. | 1;разность отметок окрайки днища | любых других точек по периметру в м.
0,057;номер точки измер. | 1;разность отметок окрайки днища | любых других точек по периметру в м.
2.-4;номер точки измер. | 1;разность отметок окрайки днища | смежных точек в м.
0,052;номер точки измер. | 1;разность отметок окрайки днища | смежных точек в м.
3.-5;номер точки измер. | 1;разность отметок окрайки днища | любых других точек по периметру в м.
-0,004;номер точки измер. | 1;разность отметок окрайки днища | любых других точек по периметру в м.
429,987;номер точки измер. | 2;абсолютная отметка в м.
2.-3;номер точки измер. | 2;разность отметок окрайки днища | смежных точек в м.
0,044;номер точки измер. | 2;разность отметок окрайки днища | смежных точек в м.
1.-4;номер точки измер. | 2;разность отметок окрайки днища | любых других точек по периметру в м.
0,065;номер точки измер. | 2;разность отметок окрайки днища | любых других точек по периметру в м.
2.-5;номер точки измер. | 2;разность отметок окрайки днища | смежных точек в м.
0,04;номер точки измер. | 2;разность отметок окрайки днища | смежных точек в м.
3.-6;номер точки измер. | 2;разность отметок окрайки днища | любых других точек по периметру в м.
-0,016;номер точки измер. | 2;разность отметок окрайки днища | любых других точек по периметру в м.
429,943;номер точки измер. | 3;абсолютная отметка в м.
3.-4;номер точки измер. | 3;разность отметок окрайки днища | смежных точек в м.
0,008;номер точки измер. | 3;разность отметок окрайки днища | смежных точек в м.
1.-5;номер точки измер. | 3;разность отметок окрайки днища | любых других точек по периметру в м.
0,053;номер точки измер. | 3;разность отметок окрайки днища | любых других точек по периметру в м.
2.-6;номер точки измер. | 3;разность отметок окрайки днища | смежных точек в м.
0,028;номер точки измер. | 3;разность отметок окрайки днища | смежных точек в м.
4.-6;номер точки измер. | 3;разность отметок окрайки днища | любых других точек по периметру в м.
-0,024;номер точки измер. | 3;разность отметок окрайки днища | любых других точек по периметру в м.
429,935;номер точки измер. | 4;абсолютная отметка в м.
4.-5;номер точки измер. | 4;разность отметок окрайки днища | смежных точек в м.
-0,012;номер точки измер. | 4;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 4;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 4;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 4;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 4;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 4;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 4;разность отметок окрайки днища | любых других точек по периметру в м.
429,947;номер точки измер. | 5;абсолютная отметка в м.
5.-6;номер точки измер. | 5;разность отметок окрайки днища | смежных точек в м.
-0,012;номер точки измер. | 5;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 5;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 5;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 5;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 5;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 5;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 5;разность отметок окрайки днища | любых других точек по периметру в м.
429,959;номер точки измер. | 6;абсолютная отметка в м.
6.-1;номер точки измер. | 6;разность отметок окрайки днища | смежных точек в м.
-0,041;номер точки измер. | 6;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 6;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 6;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 6;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 6;разность отметок окрайки днища | смежных точек в м.
;номер точки измер. | 6;разность отметок окрайки днища | любых других точек по периметру в м.
;номер точки измер. | 6;разность отметок окрайки днища | любых других точек по периметру в м.
