DATA;LABELS
600;диаметр внутренний, мм
32;давление внутреннее избыточное рабочее, мпа
300;температура расчетная, с
22х3м;основной конструкционный материал
1,1;коэффициент запаса прочности по пределу текучести при гидроиспытании
1;коэффициент прочности сварного шва
245;допускаемое напряжение материала при 20с, мпа
204;допускаемое напряжение материала при расчетной темепературе 300с, мпа
1;прибавка для компенчации коррозии, мм
61,1;минимальная толщина стенки по результатам толщинометрии
