DATA;Row Heading;Column Heading
10;испытание | на прочность давлением межтрубное пространство;значение
кгс/см3;испытание | на прочность давлением межтрубное пространство;ед.измерения
6,3;испытание | на прочность давлением трубное пространство;значение
кгс/см3;испытание | на прочность давлением трубное пространство;ед.измерения
15;испытание | продолжительность испытания;значение
мин.;испытание | продолжительность испытания;ед.измерения
гидравлическое;испытание | гидравлическое или пневматическое;значение
вода;испытание | гидравлическое или пневматическое;ед.измерения
18;испытание | темепература воды;значение
с;испытание | темепература воды;ед.измерения
