DATA;Row Heading;Column Heading
1,25;параметр | прабочее внутреннее давление, мпа (pраб);межтрубное пространство
1,2;параметр | прабочее внутреннее давление, мпа (pраб);трубное пространство
1,25;параметр | расчетное внутреннее давление, мпа (pр);межтрубное пространство
1,2;параметр | расчетное внутреннее давление, мпа (pр);трубное пространство
195;параметр | рабоча€ температура, c (t);межтрубное пространство
270;параметр | рабоча€ температура, c (t);трубное пространство
195;параметр | расчетна€ температура, c (t);межтрубное пространство
270;параметр | расчетна€ температура, c (t);трубное пространство
бензин, пары бензина;параметр | внутренн€€ среда;межтрубное пространство
легкий газойл;параметр | внутренн€€ среда;трубное пространство
