DATA;Row Heading;Column Heading
3;конструктивный элемент | днище эллиптическое (межтр.пр.);p, мпа
1600;конструктивный элемент | днище эллиптическое (межтр.пр.);d, мм
24;конструктивный элемент | днище эллиптическое (межтр.пр.);sф, мм
0,1;конструктивный элемент | днище эллиптическое (межтр.пр.);а, мм.год
1;конструктивный элемент | днище эллиптическое (межтр.пр.);с, мм
165;конструктивный элемент | днище эллиптическое (межтр.пр.);[сигма], мпа
4;конструктивный элемент | днище эллиптическое (межтр.пр.);[p], мпа
1;конструктивный элемент | днище эллиптическое (тр.пр.);p, мпа
900;конструктивный элемент | днище эллиптическое (тр.пр.);d, мм
10;конструктивный элемент | днище эллиптическое (тр.пр.);sф, мм
0,1;конструктивный элемент | днище эллиптическое (тр.пр.);а, мм.год
1;конструктивный элемент | днище эллиптическое (тр.пр.);с, мм
162;конструктивный элемент | днище эллиптическое (тр.пр.);[сигма], мпа
4;конструктивный элемент | днище эллиптическое (тр.пр.);[p], мпа
