DATA;LABELS
100%;наружной поверхности
100%;внутренней поверхности
"вскрытых разъемов, в том числе состояния резьбы каждой пронумерованной пары ""шпилька-гайка""";уплотнительных поверхностей и крепежа
-;измерения линейных размеров аппарата
