DATA;LABELS
испаритель э-1, ээ-2, э-3, э-4;наименование аппаратов, позиция по технологической схеме
для нагрева и испарения раствора диасфальтизатора в пропане;назначение
1,2- трубное пространство, 3,0 - межтрубное пространство;давление рабочее (регламентное), мпа
250 - трубное пространство, 120 - межтрубное пространство;температура рабочей среды (регламентная), с
пар - трубное пространство, раствор диасфальтзат+пропан - межтрубное пространство;рабочая среда
"3,3; 3,1";давление настройки предохранительного клапана, мпа
