DATA;Row Heading;Column Heading
рпр;наименование определяемой величины и ее единицы | пробное давление гидроиспытания, мпа;расчетная формула или обозначение
48;наименование определяемой величины и ее единицы | пробное давление гидроиспытания, мпа;числовое значение
[р];наименование определяемой величины и ее единицы | допускаемое пробное давление. мпа;расчетная формула или обозначение
73,21;наименование определяемой величины и ее единицы | допускаемое пробное давление. мпа;числовое значение
[сигма];наименование определяемой величины и ее единицы | допускаемое напряжение при гидроиспытании, мпа;расчетная формула или обозначение
400,9;наименование определяемой величины и ее единицы | допускаемое напряжение при гидроиспытании, мпа;числовое значение
сигма-г;наименование определяемой величины и ее единицы | предел текучести материала при 20с, мпа;расчетная формула или обозначение
441;наименование определяемой величины и ее единицы | предел текучести материала при 20с, мпа;числовое значение
бета;наименование определяемой величины и ее единицы | коэффициент;расчетная формула или обозначение
1,2;наименование определяемой величины и ее единицы | коэффициент;числовое значение
