DATA;Row Heading;Column Heading
;наиименование определяемой величины и ее единицы | конструктивный элемент;расчетная формула или обозначение
обечайка;наиименование определяемой величины и ее единицы | конструктивный элемент;числовое значение
тк;наиименование определяемой величины и ее единицы | остаточный ресурс, лет;расчетная формула или обозначение
25;наиименование определяемой величины и ее единицы | остаточный ресурс, лет;числовое значение
s;наиименование определяемой величины и ее единицы | фактическая минимальная толщина стенки, мм;расчетная формула или обозначение
61,1;наиименование определяемой величины и ее единицы | фактическая минимальная толщина стенки, мм;числовое значение
so;наиименование определяемой величины и ее единицы | минимально допустимая толщина стенки, мм;расчетная формула или обозначение
51;наиименование определяемой величины и ее единицы | минимально допустимая толщина стенки, мм;числовое значение
дельта;наиименование определяемой величины и ее единицы | глубина коррозионных повреждений, мм;расчетная формула или обозначение
0;наиименование определяемой величины и ее единицы | глубина коррозионных повреждений, мм;числовое значение
sф;наиименование определяемой величины и ее единицы | фактическая минимальная толщина стенки с учетом коррозионных повреждений, мм;расчетная формула или обозначение
61,1;наиименование определяемой величины и ее единицы | фактическая минимальная толщина стенки с учетом коррозионных повреждений, мм;числовое значение
sи;наиименование определяемой величины и ее единицы | исполнительная толщина стенки, мм;расчетная формула или обозначение
63;наиименование определяемой величины и ее единицы | исполнительная толщина стенки, мм;числовое значение
t1;наиименование определяемой величины и ее единицы | время эксплуатации, лет;расчетная формула или обозначение
55;наиименование определяемой величины и ее единицы | время эксплуатации, лет;числовое значение
тнр;наиименование определяемой величины и ее единицы | расчетный срок службы, лет;расчетная формула или обозначение
20;наиименование определяемой величины и ее единицы | расчетный срок службы, лет;числовое значение
к1;наиименование определяемой величины и ее единицы | коэфф. 1;расчетная формула или обозначение
0,5;наиименование определяемой величины и ее единицы | коэфф. 1;числовое значение
к2;наиименование определяемой величины и ее единицы | коэфф.2;расчетная формула или обозначение
0,75;наиименование определяемой величины и ее единицы | коэфф.2;числовое значение
а;наиименование определяемой величины и ее единицы | скорость коррозии, мм/год;расчетная формула или обозначение
0,1;наиименование определяемой величины и ее единицы | скорость коррозии, мм/год;числовое значение
м1;наиименование определяемой величины и ее единицы | параметры;расчетная формула или обозначение
35;наиименование определяемой величины и ее единицы | параметры;числовое значение
м2;наиименование определяемой величины и ее единицы | ;расчетная формула или обозначение
101;наиименование определяемой величины и ее единицы | ;числовое значение
