DATA;LABELS
4/18/13;дата проведения
"оао ""рога и копыта"", цех 17/19б блок 3";заказчик
сепаратор наклонный;объект контроля
1006;заводской номер
6433;регистрационный номер
ультразвуковой толщинометр туз-2;используемый прибор
