DATA;LABELS
сталь 25, корпус;сталь, деталь
50;расчетная температура, с
395;предел текучести при расчетное температуре, мпа, rp0.2
615;предел прочности при расчетной температуре, мпа, rm
256,2;допускаемое напряжение при расчетной температуре, мпа, [g]1
395;предел текучести при 20 c, мпа, rp_20_0.2
256,2;допуск напр. при 20 с, мпа, [g]_20
1;отношение доп.напряжений [g]_20/[g]1
