DATA;Row Heading;Column Heading
1;n | 1;nn стыков по схеме
57х5;n | 1;типоразмер, мм
2 дк;n | 1;контроледоступность
1,6;n | 1;s эквив. отраж. неспл. мм2
а-2-г;n | 1;характер обнаруженных дефектов
годен;n | 1;оценка качества
2;n | 2;nn стыков по схеме
57х5;n | 2;типоразмер, мм
2 дк;n | 2;контроледоступность
1,6;n | 2;s эквив. отраж. неспл. мм2
а-3-г;n | 2;характер обнаруженных дефектов
годен;n | 2;оценка качества
4;n | 3;nn стыков по схеме
108х5;n | 3;типоразмер, мм
2 дк;n | 3;контроледоступность
1,6;n | 3;s эквив. отраж. неспл. мм2
а-4-г;n | 3;характер обнаруженных дефектов
годен;n | 3;оценка качества
5;n | 4;nn стыков по схеме
108х5;n | 4;типоразмер, мм
2 дк;n | 4;контроледоступность
1,6;n | 4;s эквив. отраж. неспл. мм2
а-1-г;n | 4;характер обнаруженных дефектов
годен;n | 4;оценка качества
