DATA;Row Heading;Column Heading
1;наименование элемента | обечайка корпуса;кол., шт.
2600;наименование элемента | обечайка корпуса;размеры | диаметр внутренний или наружний
26;наименование элемента | обечайка корпуса;размеры | толщина стенки
6400;наименование элемента | обечайка корпуса;размеры | длина (высота)
вст3;наименование элемента | обечайка корпуса;материал | марка
380;наименование элемента | обечайка корпуса;материал | гост или ту
1;наименование элемента | обечайка штуцера №1 ввода трубного пучка;кол., шт.
700;наименование элемента | обечайка штуцера №1 ввода трубного пучка;размеры | диаметр внутренний или наружний
36;наименование элемента | обечайка штуцера №1 ввода трубного пучка;размеры | толщина стенки
600;наименование элемента | обечайка штуцера №1 ввода трубного пучка;размеры | длина (высота)
09г2с;наименование элемента | обечайка штуцера №1 ввода трубного пучка;материал | марка
5520;наименование элемента | обечайка штуцера №1 ввода трубного пучка;материал | гост или ту
1;наименование элемента | обечайка штуцера №2 ввода трубного пучка;кол., шт.
700;наименование элемента | обечайка штуцера №2 ввода трубного пучка;размеры | диаметр внутренний или наружний
36;наименование элемента | обечайка штуцера №2 ввода трубного пучка;размеры | толщина стенки
600;наименование элемента | обечайка штуцера №2 ввода трубного пучка;размеры | длина (высота)
09г2с;наименование элемента | обечайка штуцера №2 ввода трубного пучка;материал | марка
5520;наименование элемента | обечайка штуцера №2 ввода трубного пучка;материал | гост или ту
1;наименование элемента | обечайка штуцера №3 ввода трубного пучка;кол., шт.
700;наименование элемента | обечайка штуцера №3 ввода трубного пучка;размеры | диаметр внутренний или наружний
36;наименование элемента | обечайка штуцера №3 ввода трубного пучка;размеры | толщина стенки
600;наименование элемента | обечайка штуцера №3 ввода трубного пучка;размеры | длина (высота)
09г2с;наименование элемента | обечайка штуцера №3 ввода трубного пучка;материал | марка
5520;наименование элемента | обечайка штуцера №3 ввода трубного пучка;материал | гост или ту
1;наименование элемента | обечайка распределительной камеры №1;кол., шт.
700;наименование элемента | обечайка распределительной камеры №1;размеры | диаметр внутренний или наружний
10;наименование элемента | обечайка распределительной камеры №1;размеры | толщина стенки
400;наименование элемента | обечайка распределительной камеры №1;размеры | длина (высота)
09г2с;наименование элемента | обечайка распределительной камеры №1;материал | марка
5520;наименование элемента | обечайка распределительной камеры №1;материал | гост или ту
1;наименование элемента | обечайка распределительной камеры №2;кол., шт.
700;наименование элемента | обечайка распределительной камеры №2;размеры | диаметр внутренний или наружний
10;наименование элемента | обечайка распределительной камеры №2;размеры | толщина стенки
400;наименование элемента | обечайка распределительной камеры №2;размеры | длина (высота)
09г2с;наименование элемента | обечайка распределительной камеры №2;материал | марка
5520;наименование элемента | обечайка распределительной камеры №2;материал | гост или ту
1;наименование элемента | обечайка распределительной камеры №3;кол., шт.
700;наименование элемента | обечайка распределительной камеры №3;размеры | диаметр внутренний или наружний
10;наименование элемента | обечайка распределительной камеры №3;размеры | толщина стенки
400;наименование элемента | обечайка распределительной камеры №3;размеры | длина (высота)
09г2с;наименование элемента | обечайка распределительной камеры №3;материал | марка
5520;наименование элемента | обечайка распределительной камеры №3;материал | гост или ту
2;наименование элемента | днище корпуса;кол., шт.
2600;наименование элемента | днище корпуса;размеры | диаметр внутренний или наружний
26;наименование элемента | днище корпуса;размеры | толщина стенки
730;наименование элемента | днище корпуса;размеры | длина (высота)
09г2с;наименование элемента | днище корпуса;материал | марка
5520;наименование элемента | днище корпуса;материал | гост или ту
1;наименование элемента | днище распределительной камеры №1;кол., шт.
700;наименование элемента | днище распределительной камеры №1;размеры | диаметр внутренний или наружний
10;наименование элемента | днище распределительной камеры №1;размеры | толщина стенки
200;наименование элемента | днище распределительной камеры №1;размеры | длина (высота)
09г2с;наименование элемента | днище распределительной камеры №1;материал | марка
5520;наименование элемента | днище распределительной камеры №1;материал | гост или ту
1;наименование элемента | днище распределительной камеры №2;кол., шт.
700;наименование элемента | днище распределительной камеры №2;размеры | диаметр внутренний или наружний
10;наименование элемента | днище распределительной камеры №2;размеры | толщина стенки
200;наименование элемента | днище распределительной камеры №2;размеры | длина (высота)
09г2с;наименование элемента | днище распределительной камеры №2;материал | марка
5520;наименование элемента | днище распределительной камеры №2;материал | гост или ту
1;наименование элемента | днище распределительной камеры №3;кол., шт.
700;наименование элемента | днище распределительной камеры №3;размеры | диаметр внутренний или наружний
10;наименование элемента | днище распределительной камеры №3;размеры | толщина стенки
200;наименование элемента | днище распределительной камеры №3;размеры | длина (высота)
09г2с;наименование элемента | днище распределительной камеры №3;материал | марка
5520;наименование элемента | днище распределительной камеры №3;материал | гост или ту
