DATA;Row Heading;Column Heading
0.5;техническая характеристика | давление, мпа | рабочее;трубное пространство
0,8;техническая характеристика | давление, мпа | рабочее;межтрубное пространство
0,5;техническая характеристика | давление, мпа | разрешенное;трубное пространство
0,8;техническая характеристика | давление, мпа | разрешенное;межтрубное пространство
50;техническая характеристика | темепература, с | рабочая;трубное пространство
45;техническая характеристика | темепература, с | рабочая;межтрубное пространство
50;техническая характеристика | темепература, с | расчетная;трубное пространство
50;техническая характеристика | темепература, с | расчетная;межтрубное пространство
вода;техническая характеристика | среда рабочая;трубное пространство
масло;техническая характеристика | среда рабочая;межтрубное пространство
