DATA;Row Heading;Column Heading
200;температура, с | рабочей среды;проектные | межтрубное пространство
250;температура, с | рабочей среды;проектные | трубное пространство
120;температура, с | рабочей среды;фактические | межтрубное пространство
250;температура, с | рабочей среды;фактические | трубное пространство
200;температура, с | расчетная стенки;проектные | межтрубное пространство
;температура, с | расчетная стенки;проектные | трубное пространство
200;температура, с | расчетная стенки;фактические | межтрубное пространство
250;температура, с | расчетная стенки;фактические | трубное пространство
>0;температура, с | минимально-допустимая стенки;проектные | межтрубное пространство
>0;температура, с | минимально-допустимая стенки;проектные | трубное пространство
>0;температура, с | минимально-допустимая стенки;фактические | межтрубное пространство
>0;температура, с | минимально-допустимая стенки;фактические | трубное пространство
