DATA;LABELS
600;диаметр внутренний, мм
32;давление внутреннее избыточное расчетное, мпа
300;температура расчетная, с
22х3м;основной материал обечайки
1;коэффициент прочности сварного шва
245;допускаемое напряжение материала при 20с, мпа
204;допускаемое напряжение материалы при расчетной температуре, мпа
1;прибавка для компенсации коррозии, мм
61,1;минимальная толщина стенки по результататм толщинометрии
