DATA;LABELS
сварных соединений нет;наименование сварного соединения
сварных соединений нет;тип соединения (стыковое, тавровое, угловое)
сварных соединений нет;вид сварки (ручная, автоматическая)
сварных соединений нет;электрод или сварочная проволока (тип, марка, стандарт)
