DATA;Row Heading;Column Heading
стыковое;наименование сварного соединения | вертикальные сварные швы первого пояса стенки;тип соединения (стыковое, тавровое, угловое)
а;наименование сварного соединения | вертикальные сварные швы первого пояса стенки;вид сварки (ручная, автоматическая)
нахлесточное;наименование сварного соединения | вертикальные сварные швы остальных поясов стенки резервуара;тип соединения (стыковое, тавровое, угловое)
р;наименование сварного соединения | вертикальные сварные швы остальных поясов стенки резервуара;вид сварки (ручная, автоматическая)
нахлесточное;наименование сварного соединения | кольцевые сварные швы стенки резервуара;тип соединения (стыковое, тавровое, угловое)
а;наименование сварного соединения | кольцевые сварные швы стенки резервуара;вид сварки (ручная, автоматическая)
нахлесточное;наименование сварного соединения | стыки плоских заготовок днища и настила крыши;тип соединения (стыковое, тавровое, угловое)
а;наименование сварного соединения | стыки плоских заготовок днища и настила крыши;вид сварки (ручная, автоматическая)
тавровое;наименование сварного соединения | кольцевой стык днища со стенкой и крыши со стенкой;тип соединения (стыковое, тавровое, угловое)
р;наименование сварного соединения | кольцевой стык днища со стенкой и крыши со стенкой;вид сварки (ручная, автоматическая)
угловое;наименование сварного соединения | сварные швы приварки патрубков;тип соединения (стыковое, тавровое, угловое)
р;наименование сварного соединения | сварные швы приварки патрубков;вид сварки (ручная, автоматическая)
электродами типа э-46 гост9467 проволока св-08га гост 2246;наименование сварного соединения | вертикальные сварные швы первого пояса стенки;электрод или сварочная проволока (ти, марка, стандарт)
электродами типа э-46 гост9467 проволока св-08га гост 2246;наименование сварного соединения | вертикальные сварные швы остальных поясов стенки резервуара;электрод или сварочная проволока (ти, марка, стандарт)
электродами типа э-46 гост9467 проволока св-08га гост 2246;наименование сварного соединения | кольцевые сварные швы стенки резервуара;электрод или сварочная проволока (ти, марка, стандарт)
электродами типа э-46 гост9467 проволока св-08га гост 2246;наименование сварного соединения | стыки плоских заготовок днища и настила крыши;электрод или сварочная проволока (ти, марка, стандарт)
электродами типа э-46 гост9467 проволока св-08га гост 2246;наименование сварного соединения | кольцевой стык днища со стенкой и крыши со стенкой;электрод или сварочная проволока (ти, марка, стандарт)
электродами типа э-46 гост9467 проволока св-08га гост 2246;наименование сварного соединения | сварные швы приварки патрубков;электрод или сварочная проволока (ти, марка, стандарт)
