DATA;Row Heading;Column Heading
26;конструктивный элемент | обечайка корпуса межтурбного пространства;sи, мм
12,75;конструктивный элемент | обечайка корпуса межтурбного пространства;sр, мм
12,75;конструктивный элемент | обечайка корпуса межтурбного пространства;sотб, мм
23,6;конструктивный элемент | обечайка корпуса межтурбного пространства;sф, мм
0,24;конструктивный элемент | обечайка корпуса межтурбного пространства;а, мм/год
43,8;конструктивный элемент | обечайка корпуса межтурбного пространства;m2
28,3;конструктивный элемент | обечайка корпуса межтурбного пространства;tк, лет
36;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;sи, мм
3,3;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;sр, мм
4;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;sотб, мм
31,6;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;sф, мм
0,43;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;а, мм/год
63;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;m2
33,6;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;tк, лет
36;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;sи, мм
3,3;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;sр, мм
4;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;sотб, мм
31,6;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;sф, мм
0,43;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;а, мм/год
63;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;m2
33,6;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;tк, лет
36;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;sи, мм
3,3;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;sр, мм
