DATA;Row Heading;Column Heading
к-1;n | 1;место установки
650;n | 1;номер
100-64;n | 1;тип
145;n | 1;ном.пружины
пружина в норме;n | 1;испытание пружины
50;n | 1;установочное давление, мпа
47;n | 1;проверка герметичности затвора клапана
90;n | 1;испытание на плотность разъемных соединений клапана, мпа
90;n | 1;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 1;характеристика ремонта
е-6;n | 1;примечание
к-1;n | 2;место установки
2927;n | 2;номер
100-64;n | 2;тип
145;n | 2;ном.пружины
пружина в норме;n | 2;испытание пружины
50;n | 2;установочное давление, мпа
47;n | 2;проверка герметичности затвора клапана
90;n | 2;испытание на плотность разъемных соединений клапана, мпа
90;n | 2;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 2;характеристика ремонта
е-6;n | 2;примечание
к-1;n | 3;место установки
2561;n | 3;номер
100-64;n | 3;тип
145;n | 3;ном.пружины
пружина в норме;n | 3;испытание пружины
48;n | 3;установочное давление, мпа
47;n | 3;проверка герметичности затвора клапана
90;n | 3;испытание на плотность разъемных соединений клапана, мпа
90;n | 3;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 3;характеристика ремонта
е-6;n | 3;примечание
к-1;n | 4;место установки
666;n | 4;номер
100-64;n | 4;тип
145;n | 4;ном.пружины
пружина в норме;n | 4;испытание пружины
48;n | 4;установочное давление, мпа
47;n | 4;проверка герметичности затвора клапана
90;n | 4;испытание на плотность разъемных соединений клапана, мпа
90;n | 4;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 4;характеристика ремонта
е-6;n | 4;примечание
к-2;n | 5;место установки
560;n | 5;номер
100-64;n | 5;тип
145;n | 5;ном.пружины
пружина в норме;n | 5;испытание пружины
50;n | 5;установочное давление, мпа
47;n | 5;проверка герметичности затвора клапана
90;n | 5;испытание на плотность разъемных соединений клапана, мпа
90;n | 5;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 5;характеристика ремонта
е-6;n | 5;примечание
к-2;n | 6;место установки
561;n | 6;номер
100-64;n | 6;тип
145;n | 6;ном.пружины
пружина в норме;n | 6;испытание пружины
50;n | 6;установочное давление, мпа
47;n | 6;проверка герметичности затвора клапана
90;n | 6;испытание на плотность разъемных соединений клапана, мпа
90;n | 6;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 6;характеристика ремонта
е-6;n | 6;примечание
к-2;n | 7;место установки
2566;n | 7;номер
100-64;n | 7;тип
145;n | 7;ном.пружины
пружина в норме;n | 7;испытание пружины
48;n | 7;установочное давление, мпа
47;n | 7;проверка герметичности затвора клапана
90;n | 7;испытание на плотность разъемных соединений клапана, мпа
90;n | 7;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 7;характеристика ремонта
е-6;n | 7;примечание
к-2;n | 8;место установки
564;n | 8;номер
100-64;n | 8;тип
145;n | 8;ном.пружины
пружина в норме;n | 8;испытание пружины
48;n | 8;установочное давление, мпа
47;n | 8;проверка герметичности затвора клапана
90;n | 8;испытание на плотность разъемных соединений клапана, мпа
90;n | 8;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 8;характеристика ремонта
е-6;n | 8;примечание
к-3;n | 9;место установки
565;n | 9;номер
50-16;n | 9;тип
104;n | 9;ном.пружины
пружина в норме;n | 9;испытание пружины
5,5;n | 9;установочное давление, мпа
2,5;n | 9;проверка герметичности затвора клапана
24;n | 9;испытание на плотность разъемных соединений клапана, мпа
24;n | 9;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 9;характеристика ремонта
е-6;n | 9;примечание
к-3;n | 10;место установки
566;n | 10;номер
50-16;n | 10;тип
106;n | 10;ном.пружины
пружина в норме;n | 10;испытание пружины
11;n | 10;установочное давление, мпа
8;n | 10;проверка герметичности затвора клапана
24;n | 10;испытание на плотность разъемных соединений клапана, мпа
24;n | 10;испытание на прочность корпуса клапана, мпа
полный ремонт;n | 10;характеристика ремонта
е-6;n | 10;примечание
к-3;n | 11;место установки
567;n | 11;номер
50-16;n | 11;тип
106;n | 11;ном.пружины
