DATA;Row Heading;Column Heading
0;номера поясов | 0;номера образующих | 1
0;номера поясов | 0;номера образующих | 2
0;номера поясов | 0;номера образующих | 3
0;номера поясов | 0;номера образующих | 4
0;номера поясов | 0;номера образующих | 5
0;номера поясов | 0;номера образующих | 6
20;номера поясов | 0;допустимые отклонения
9;номера поясов | 1;номера образующих | 1
-10;номера поясов | 1;номера образующих | 2
-7;номера поясов | 1;номера образующих | 3
5;номера поясов | 1;номера образующих | 4
24;номера поясов | 1;номера образующих | 5
20;номера поясов | 1;номера образующих | 6
40;номера поясов | 1;допустимые отклонения
5;номера поясов | 2;номера образующих | 1
-20;номера поясов | 2;номера образующих | 2
2;номера поясов | 2;номера образующих | 3
15;номера поясов | 2;номера образующих | 4
30;номера поясов | 2;номера образующих | 5
20;номера поясов | 2;номера образующих | 6
60;номера поясов | 2;допустимые отклонения
5;номера поясов | 3;номера образующих | 1
-32;номера поясов | 3;номера образующих | 2
15;номера поясов | 3;номера образующих | 3
15;номера поясов | 3;номера образующих | 4
36;номера поясов | 3;номера образующих | 5
14;номера поясов | 3;номера образующих | 6
80;номера поясов | 3;допустимые отклонения
-5;номера поясов | 4;номера образующих | 1
-37;номера поясов | 4;номера образующих | 2
20;номера поясов | 4;номера образующих | 3
25;номера поясов | 4;номера образующих | 4
42;номера поясов | 4;номера образующих | 5
9;номера поясов | 4;номера образующих | 6
90;номера поясов | 4;допустимые отклонения
-12;номера поясов | 5;номера образующих | 1
-48;номера поясов | 5;номера образующих | 2
30;номера поясов | 5;номера образующих | 3
30;номера поясов | 5;номера образующих | 4
42;номера поясов | 5;номера образующих | 5
6;номера поясов | 5;номера образующих | 6
100;номера поясов | 5;допустимые отклонения
