DATA;LABELS
548;диаметр внутренний, мм
0,8;давление внутреннее избыточное расчетное, мпа
50;температура расчетная, с
09г2с гост 5520;основной конструкционный материал
1,1;коэффициент запаса прочности по приделу текучести при гидроиспытании
1;коэффициент прочности сварного шва
196;допускаемое напряжение матриала при 20 с, мпа
188;допускаемое напряжение матриалы при расчетной температуре 50 с, мпа
0,9;прибавка для компенсации коррозии, мм
7,3;минимальная толщина стенки по результатам толщинометрии с учетом минусового допуска и коррозии металла, мм
