DATA;Row Heading;Column Heading
н/д;№ точки ось | а;а, ж, в
7,0;№ точки ось | а;б
6,4;№ точки ось | а;к 1,2
6,0;№ точки ось | а;к 3
6,2;№ точки ось | а;г 1,2,3
6,3;№ точки ось | а;д 1,2,3
17;№ точки ось | а;м 1
18;№ точки ось | а;м 1
19;№ точки ось | а;м 1
20;№ точки ось | а;м 2
21;№ точки ось | а;м 2
22;№ точки ось | а;м 2
23;№ точки ось | а;м 3
24;№ точки ось | а;м 3
25;№ точки ось | а;м 3
-;№ точки ось | в;а, ж, в
-;№ точки ось | в;б
6,2;№ точки ось | в;к 1,2
-;№ точки ось | в;к 3
-;№ точки ось | в;г 1,2,3
-;№ точки ось | в;д 1,2,3
31,7;№ точки ось | в;м 1
10,3;№ точки ось | в;м 1
11,6;№ точки ось | в;м 1
31,8;№ точки ось | в;м 2
10,0;№ точки ось | в;м 2
11,3;№ точки ось | в;м 2
31,9;№ точки ось | в;м 3
10,6;№ точки ось | в;м 3
11,4;№ точки ось | в;м 3
-;№ точки ось | с;а, ж, в
6,8;№ точки ось | с;б
6,6;№ точки ось | с;к 1,2
6,1;№ точки ось | с;к 3
6,3;№ точки ось | с;г 1,2,3
6,1;№ точки ось | с;д 1,2,3
34,5;№ точки ось | с;м 1
10,3;№ точки ось | с;м 1
11,4;№ точки ось | с;м 1
32,3;№ точки ось | с;м 2
10,4;№ точки ось | с;м 2
11,5;№ точки ось | с;м 2
32,0;№ точки ось | с;м 3
10,5;№ точки ось | с;м 3
11,7;№ точки ось | с;м 3
-;№ точки ось | d;а, ж, в
-;№ точки ось | d;б
6,3;№ точки ось | d;к 1,2
-;№ точки ось | d;к 3
-;№ точки ось | d;г 1,2,3
-;№ точки ось | d;д 1,2,3
34,7;№ точки ось | d;м 1
10,2;№ точки ось | d;м 1
11,6;№ точки ось | d;м 1
31,7;№ точки ось | d;м 2
10,3;№ точки ось | d;м 2
11,6;№ точки ось | d;м 2
32,1;№ точки ось | d;м 3
10,4;№ точки ось | d;м 3
11,6;№ точки ось | d;м 3
