DATA;LABELS
механические испытания;метод контроля
контрольный стык диам.133х6;объем контроля
протокол №124 от 04.12.1988;примечание
гаммаграфирование;метод контроля
контрольный стык диам.57х3;объем контроля
удовл.;примечание
