DATA;Row Heading;Column Heading
26;конструктивный элемент | обечайка корпуса межтурбного пространства;толщина стенки, мм | исполнительная, sи, мм
23.июн;конструктивный элемент | обечайка корпуса межтурбного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
12,75;конструктивный элемент | обечайка корпуса межтурбного пространства;толщина стенки, мм | расчетная, sр, мм
12,75;конструктивный элемент | обечайка корпуса межтурбного пространства;толщина стенки, мм | допускаемая, sотб, мм
36;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;толщина стенки, мм | исполнительная, sи, мм
31,6;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
3,3;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;толщина стенки, мм | расчетная, sр, мм
4;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;толщина стенки, мм | допускаемая, sотб, мм
36;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;толщина стенки, мм | исполнительная, sи, мм
31,6;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
3,3;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;толщина стенки, мм | расчетная, sр, мм
4;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;толщина стенки, мм | допускаемая, sотб, мм
36;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;толщина стенки, мм | исполнительная, sи, мм
31,6;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
3,3;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;толщина стенки, мм | расчетная, sр, мм
4;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;толщина стенки, мм | допускаемая, sотб, мм
10;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;толщина стенки, мм | исполнительная, sи, мм
9,9;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
3,3;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;толщина стенки, мм | расчетная, sр, мм
4;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;толщина стенки, мм | допускаемая, sотб, мм
10;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;толщина стенки, мм | исполнительная, sи, мм
9,9;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
3,3;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;толщина стенки, мм | расчетная, sр, мм
4;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;толщина стенки, мм | допускаемая, sотб, мм
10;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;толщина стенки, мм | исполнительная, sи, мм
9,9;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
3,3;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;толщина стенки, мм | расчетная, sр, мм
4;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;толщина стенки, мм | допускаемая, sотб, мм
26;конструктивный элемент | днище корпуса межтурбного пространства;толщина стенки, мм | исполнительная, sи, мм
24,9;конструктивный элемент | днище корпуса межтурбного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
12,2;конструктивный элемент | днище корпуса межтурбного пространства;толщина стенки, мм | расчетная, sр, мм
12,2;конструктивный элемент | днище корпуса межтурбного пространства;толщина стенки, мм | допускаемая, sотб, мм
10;конструктивный элемент | днище распределительной камеры №1 трубного пространства;толщина стенки, мм | исполнительная, sи, мм
11,2;конструктивный элемент | днище распределительной камеры №1 трубного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
3,3;конструктивный элемент | днище распределительной камеры №1 трубного пространства;толщина стенки, мм | расчетная, sр, мм
4;конструктивный элемент | днище распределительной камеры №1 трубного пространства;толщина стенки, мм | допускаемая, sотб, мм
10;конструктивный элемент | днище распределительной камеры №2 трубного пространства;толщина стенки, мм | исполнительная, sи, мм
11,2;конструктивный элемент | днище распределительной камеры №2 трубного пространства;толщина стенки, мм | фактическая минимальная (с учетом погрешности измерения), sф, мм
3,3;конструктивный элемент | днище распределительной камеры №2 трубного пространства;толщина стенки, мм | расчетная, sр, мм
4;конструктивный элемент | днище распределительной камеры №2 трубного пространства;толщина стенки, мм | допускаемая, sотб, мм
10;конструктивный элемент | днище распределительной камеры №3 трубного пространства;толщина стенки, мм | исполнительная, sи, мм
