DATA;LABELS
408;диаметр внутренний, мм
0,8;давление внутреннее избыточное расчетное, мпа
50;температура расчетная, с
сталь 20 гост 8731;основной конструкционный материал
1;коэффициент прочности сварного шва
147;допускаемое напряжение матриала при 20 с, мпа
145;допускаемое напряжение матриалы при расчетной температуре 50 с, мпа
1;прибавка для компенсации коррозии, мм
8,1;минимальная толщина стенки по результатам толщинометрии с учетом минусового допуска, мм
