DATA;Row Heading;Column Heading
место-1, место-2;наименование характеристики, ее размерность | местонахождение (адрес) опо;наименование параметра, его значение
i;наименование характеристики, ее размерность | класс опасности опо;наименование параметра, его значение
теплообменник (корпус);наименование характеристики, ее размерность | наименование объекта экспертизы;наименование параметра, его значение
333;наименование характеристики, ее размерность | регистрационный номер;наименование параметра, его значение
4-676;наименование характеристики, ее размерность | заводсткой номер;наименование параметра, его значение
германия;наименование характеристики, ее размерность | завод изготовитель;наименование параметра, его значение
1942;наименование характеристики, ее размерность | год изготовления;наименование параметра, его значение
1962;наименование характеристики, ее размерность | год ввода в эксплуатацию;наименование параметра, его значение
для нагрева газосырьевой смеси отходящей газопродуктовой смесью;наименование характеристики, ее размерность | назначение;наименование параметра, его значение
теплообменное;наименование характеристики, ее размерность | тип оборудования;наименование параметра, его значение
вертикальный кованный с трубным пучком;наименование характеристики, ее размерность | конструктивный тип;наименование параметра, его значение
на открытой площадке;наименование характеристики, ее размерность | место установки;наименование параметра, его значение
не теплоизолирован;наименование характеристики, ее размерность | теплоизоляция;наименование параметра, его значение
5;наименование характеристики, ее размерность | объем, м.куб.;наименование параметра, его значение
газосырьевая смесь 1;наименование характеристики, ее размерность | рабочая среда | блок 31;наименование параметра, его значение
газосырьевая смесь 2;наименование характеристики, ее размерность | рабочая среда | блок 40;наименование параметра, его значение
газосырьевая смесь 3;наименование характеристики, ее размерность | рабочая среда | блок 41;наименование параметра, его значение
32;наименование характеристики, ее размерность | рабочее давление (регламентное), мпа;наименование параметра, его значение
32;наименование характеристики, ее размерность | разрешенное давление, мпа;наименование параметра, его значение
32;наименование характеристики, ее размерность | расчетное давление, мпа;наименование параметра, его значение
48;наименование характеристики, ее размерность | пробное давление гидроиспытания, мпа;наименование параметра, его значение
300;наименование характеристики, ее размерность | температура рабочей среды, с;наименование параметра, его значение
270;наименование характеристики, ее размерность | температура стенки корпуса, с;наименование параметра, его значение
300;наименование характеристики, ее размерность | расчетная температура стенки, с;наименование параметра, его значение
1;наименование характеристики, ее размерность | группа аппарата;наименование параметра, его значение
24crmo10;наименование характеристики, ее размерность | основной конструкционный материал;наименование параметра, его значение
600;наименование характеристики, ее размерность | диаметр внутренний, мм;наименование параметра, его значение
20280;наименование характеристики, ее размерность | высота, мм;наименование параметра, его значение
