DATA;Row Heading;Column Heading
1;наименование элемента | обечайка корпуса;кол., шт.
408;наименование элемента | обечайка корпуса;размеры | диаметр внутренний или наружний
9;наименование элемента | обечайка корпуса;размеры | толщина стенки
1100;наименование элемента | обечайка корпуса;размеры | длина (высота)
сталь 20;наименование элемента | обечайка корпуса;материал | марка
гост 8731-74;наименование элемента | обечайка корпуса;материал | гост или ту
2;наименование элемента | обечайка камеры межтрубного пространства;кол., шт.
548;наименование элемента | обечайка камеры межтрубного пространства;размеры | диаметр внутренний или наружний
8;наименование элемента | обечайка камеры межтрубного пространства;размеры | толщина стенки
120;наименование элемента | обечайка камеры межтрубного пространства;размеры | длина (высота)
09г2с;наименование элемента | обечайка камеры межтрубного пространства;материал | марка
гост 5520-79;наименование элемента | обечайка камеры межтрубного пространства;материал | гост или ту
2;наименование элемента | обечайка камеры трубного пространства;кол., шт.
408;наименование элемента | обечайка камеры трубного пространства;размеры | диаметр внутренний или наружний
9;наименование элемента | обечайка камеры трубного пространства;размеры | толщина стенки
140;наименование элемента | обечайка камеры трубного пространства;размеры | длина (высота)
сталь 20;наименование элемента | обечайка камеры трубного пространства;материал | марка
гост 8731-74;наименование элемента | обечайка камеры трубного пространства;материал | гост или ту
1;наименование элемента | днище плоское;кол., шт.
408;наименование элемента | днище плоское;размеры | диаметр внутренний или наружний
14;наименование элемента | днище плоское;размеры | толщина стенки
-;наименование элемента | днище плоское;размеры | длина (высота)
09г2с;наименование элемента | днище плоское;материал | марка
гост 5520-79;наименование элемента | днище плоское;материал | гост или ту
1;наименование элемента | крышка плоская;кол., шт.
565;наименование элемента | крышка плоская;размеры | диаметр внутренний или наружний
17;наименование элемента | крышка плоская;размеры | толщина стенки
-;наименование элемента | крышка плоская;размеры | длина (высота)
09г2с;наименование элемента | крышка плоская;материал | марка
гост 5520-79;наименование элемента | крышка плоская;материал | гост или ту
