DATA;Row Heading;Column Heading
135,1;конструктивный элемент | корпус аппарата;sn, мм
132,8;конструктивный элемент | корпус аппарата;sф, мм
66,5;конструктивный элемент | корпус аппарата;sр, мм
0,5;конструктивный элемент | корпус аппарата;к1
0,75;конструктивный элемент | корпус аппарата;к2
0,1;конструктивный элемент | корпус аппарата;а, мм/год
56;конструктивный элемент | корпус аппарата;t1
36;конструктивный элемент | корпус аппарата;m1
662,8;конструктивный элемент | корпус аппарата;m2
25;конструктивный элемент | корпус аппарата;тк
