DATA;Row Heading;Column Heading
1;наименование | выход остатка продукта патрубок 159х4,5-180;кол., шт.
150;наименование | выход остатка продукта патрубок 159х4,5-180;условный переход, мм
25;наименование | выход остатка продукта патрубок 159х4,5-180;условное давление, мпа
сталь 20;наименование | выход остатка продукта патрубок 159х4,5-180;материал | марка
1050-88;наименование | выход остатка продукта патрубок 159х4,5-180;материал | гост или ту
1;наименование | выход паров продукта патрубок 273х8-200;кол., шт.
250;наименование | выход паров продукта патрубок 273х8-200;условный переход, мм
25;наименование | выход паров продукта патрубок 273х8-200;условное давление, мпа
сталь 20;наименование | выход паров продукта патрубок 273х8-200;материал | марка
1050-88;наименование | выход паров продукта патрубок 273х8-200;материал | гост или ту
3;наименование | взод теплоносителя патрубок 159х4,5-190;кол., шт.
150;наименование | взод теплоносителя патрубок 159х4,5-190;условный переход, мм
25;наименование | взод теплоносителя патрубок 159х4,5-190;условное давление, мпа
сталь 20;наименование | взод теплоносителя патрубок 159х4,5-190;материал | марка
1050-88;наименование | взод теплоносителя патрубок 159х4,5-190;материал | гост или ту
3;наименование | взод теплоносителя патрубок 159х4,5-190;кол., шт.
150;наименование | взод теплоносителя патрубок 159х4,5-190;условный переход, мм
25;наименование | взод теплоносителя патрубок 159х4,5-190;условное давление, мпа
сталь 20;наименование | взод теплоносителя патрубок 159х4,5-190;материал | марка
1050-88;наименование | взод теплоносителя патрубок 159х4,5-190;материал | гост или ту
1;наименование | дренаж патрубок 57х4-110;кол., шт.
50;наименование | дренаж патрубок 57х4-110;условный переход, мм
25;наименование | дренаж патрубок 57х4-110;условное давление, мпа
сталь 20;наименование | дренаж патрубок 57х4-110;материал | марка
1050-88;наименование | дренаж патрубок 57х4-110;материал | гост или ту
1;наименование | люк-лаз патрубок 480х10-200;кол., шт.
450;наименование | люк-лаз патрубок 480х10-200;условный переход, мм
25;наименование | люк-лаз патрубок 480х10-200;условное давление, мпа
09г2с;наименование | люк-лаз патрубок 480х10-200;материал | марка
5520-79;наименование | люк-лаз патрубок 480х10-200;материал | гост или ту
2;наименование | бобышка регулятора уровня;кол., шт.
40;наименование | бобышка регулятора уровня;условный переход, мм
-;наименование | бобышка регулятора уровня;условное давление, мпа
сталь 20;наименование | бобышка регулятора уровня;материал | марка
1050-88;наименование | бобышка регулятора уровня;материал | гост или ту
1;наименование | для магнометра;кол., шт.
15;наименование | для магнометра;условный переход, мм
-;наименование | для магнометра;условное давление, мпа
сталь 20;наименование | для магнометра;материал | марка
1050-88;наименование | для магнометра;материал | гост или ту
3;наименование | люк монтажный патрубок 219х6-258;кол., шт.
200;наименование | люк монтажный патрубок 219х6-258;условный переход, мм
25;наименование | люк монтажный патрубок 219х6-258;условное давление, мпа
сталь 20;наименование | люк монтажный патрубок 219х6-258;материал | марка
1050-88;наименование | люк монтажный патрубок 219х6-258;материал | гост или ту
2;наименование | к указателю уровня;кол., шт.
20;наименование | к указателю уровня;условный переход, мм
-;наименование | к указателю уровня;условное давление, мпа
сталь 20;наименование | к указателю уровня;материал | марка
1050-88;наименование | к указателю уровня;материал | гост или ту
3;наименование | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;кол., шт.
700;наименование | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;условный переход, мм
25;наименование | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;условное давление, мпа
09г2с;наименование | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;материал | марка
5520-79;наименование | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;материал | гост или ту
