DATA;Row Heading;Column Heading
среда;№ поз. | 1;параметр
масло;№ поз. | 1;значение
объем;№ поз. | 2;параметр
700 м3;№ поз. | 2;значение
высота;№ поз. | 3;параметр
8860 мм;№ поз. | 3;значение
диаметр;№ поз. | 4;параметр
10420 мм;№ поз. | 4;значение
дыхание;№ поз. | 5;параметр
вентпатрубок ду 150;№ поз. | 5;значение
температура рабочая;№ поз. | 6;параметр
80 с;№ поз. | 6;значение
давление рабочее;№ поз. | 7;параметр
гидростатическое;№ поз. | 7;значение
максимальный уровень заполнения;№ поз. | 8;параметр
7800 мм;№ поз. | 8;значение
скорость наполнения и опорожнения;№ поз. | 9;параметр
100 м3/ч;№ поз. | 9;значение
скорость коррозии;№ поз. | 10;параметр
0,1 мм/год;№ поз. | 10;значение
