DATA;LABELS
иванов а.а.;председатель комиссии - эксперт высшей квалификации, уд.01, зам.генерального директора по эпб
сидоров с.г.;зам.председателя комиссии -эксперт, уд.02. зам.генерального директора по эпб ок
петров н.л.;ведущий эксперт, уд.03, зав.зам. отделом 67
васечкин н.н.;эксперт, уд.04, зав. отделом 56
кузнецов а.п.;эксперт, уд.05, зав. отделом 57
